ring_key,typology,ring_size,span_days,distinct_senders,distinct_receivers,distinct_formats,first_ts,last_ts,distinct_accounts,distinct_currencies,split
HI-Small::123,FAN-OUT,4,3.308333333333333,1,4,1,2022-09-04 08:04:00,2022-09-07 15:28:00,5,4,HI-Small
HI-Small::208,FAN-IN,2,0.6958333333333333,2,1,1,2022-09-06 15:17:00,2022-09-07 07:59:00,3,1,HI-Small
HI-Small::272,GATHER-SCATTER,14,4.300694444444445,10,6,1,2022-09-08 10:45:00,2022-09-12 17:58:00,15,4,HI-Small
HI-Small::62,CYCLE,6,2.8430555555555554,6,6,1,2022-09-02 13:07:00,2022-09-05 09:21:00,6,3,HI-Small
HI-Small::260,STACK,2,0.7854166666666667,2,2,1,2022-09-09 19:10:00,2022-09-10 14:01:00,2,1,HI-Small
HI-Small::305,GATHER-SCATTER,26,8.014583333333333,13,15,1,2022-09-09 11:43:00,2022-09-17 12:04:00,27,8,HI-Small
HI-Small::17,SCATTER-GATHER,32,3.9881944444444444,17,17,1,2022-09-01 07:57:00,2022-09-05 07:40:00,18,8,HI-Small
HI-Small::22,BIPARTITE,1,0.0,1,1,1,2022-09-02 09:14:00,2022-09-02 09:14:00,2,1,HI-Small
HI-Small::136,FAN-OUT,9,3.901388888888889,1,9,1,2022-09-04 17:33:00,2022-09-08 15:11:00,10,4,HI-Small
HI-Small::142,CYCLE,2,0.6888888888888889,2,2,1,2022-09-04 19:50:00,2022-09-05 12:22:00,2,1,HI-Small
HI-Small::240,SCATTER-GATHER,2,1.0243055555555556,2,2,1,2022-09-07 10:24:00,2022-09-08 10:59:00,2,1,HI-Small
HI-Small::290,RANDOM,5,3.548611111111111,5,5,1,2022-09-09 01:19:00,2022-09-12 14:29:00,6,2,HI-Small
HI-Small::5,RANDOM,5,3.609722222222222,5,5,1,2022-09-01 01:57:00,2022-09-04 16:35:00,6,4,HI-Small
HI-Small::153,STACK,2,0.55,2,2,1,2022-09-06 14:03:00,2022-09-07 03:15:00,2,1,HI-Small
HI-Small::155,GATHER-SCATTER,17,6.21875,3,16,1,2022-09-05 04:27:00,2022-09-11 09:42:00,18,7,HI-Small
HI-Small::156,SCATTER-GATHER,2,2.5395833333333333,2,2,1,2022-09-05 04:56:00,2022-09-07 17:53:00,2,1,HI-Small
HI-Small::225,STACK,22,3.588888888888889,22,22,1,2022-09-07 02:40:00,2022-09-10 16:48:00,33,9,HI-Small
HI-Small::88,BIPARTITE,5,1.5333333333333334,5,5,1,2022-09-03 08:52:00,2022-09-04 21:40:00,10,1,HI-Small
HI-Small::191,RANDOM,8,3.582638888888889,8,8,1,2022-09-06 03:39:00,2022-09-09 17:38:00,9,3,HI-Small
HI-Small::245,CYCLE,3,1.4833333333333334,3,3,1,2022-09-07 16:22:00,2022-09-09 03:58:00,3,3,HI-Small
HI-Small::35,FAN-OUT,10,3.0131944444444443,1,10,1,2022-09-01 17:48:00,2022-09-04 18:07:00,11,2,HI-Small
HI-Small::45,SCATTER-GATHER,14,3.7708333333333335,8,8,1,2022-09-02 00:57:00,2022-09-05 19:27:00,9,2,HI-Small
HI-Small::100,BIPARTITE,1,0.0,1,1,1,2022-09-04 03:55:00,2022-09-04 03:55:00,2,1,HI-Small
HI-Small::111,STACK,4,2.698611111111111,4,4,1,2022-09-04 00:35:00,2022-09-06 17:21:00,4,1,HI-Small
HI-Small::198,FAN-OUT,7,3.7895833333333333,1,7,1,2022-09-06 09:32:00,2022-09-10 04:29:00,8,6,HI-Small
HI-Small::41,BIPARTITE,4,1.023611111111111,4,4,1,2022-09-02 08:00:00,2022-09-03 08:34:00,8,2,HI-Small
HI-Small::284,FAN-IN,16,3.8006944444444444,16,1,1,2022-09-08 19:02:00,2022-09-12 14:15:00,17,1,HI-Small
HI-Small::338,SCATTER-GATHER,2,3.28125,2,2,1,2022-09-10 03:50:00,2022-09-13 10:35:00,2,1,HI-Small
HI-Small::339,FAN-IN,5,2.5194444444444444,5,1,1,2022-09-10 03:37:00,2022-09-12 16:05:00,6,1,HI-Small
HI-Small::342,STACK,2,1.1381944444444445,2,2,1,2022-09-12 05:27:00,2022-09-13 08:46:00,2,1,HI-Small
HI-Small::183,FAN-IN,6,2.763888888888889,6,1,1,2022-09-05 23:56:00,2022-09-08 18:16:00,7,1,HI-Small
HI-Small::286,BIPARTITE,1,0.0,1,1,1,2022-09-09 11:07:00,2022-09-09 11:07:00,2,1,HI-Small
HI-Small::344,GATHER-SCATTER,15,7.361805555555556,3,13,1,2022-09-10 08:42:00,2022-09-17 17:23:00,14,2,HI-Small
HI-Small::351,FAN-IN,8,3.93125,8,1,1,2022-09-10 14:58:00,2022-09-14 13:19:00,9,1,HI-Small
HI-Small::122,RANDOM,11,3.3715277777777777,11,11,1,2022-09-04 07:03:00,2022-09-07 15:58:00,12,2,HI-Small
HI-Small::124,SCATTER-GATHER,26,3.9444444444444446,14,14,1,2022-09-04 09:35:00,2022-09-08 08:15:00,15,8,HI-Small
HI-Small::127,SCATTER-GATHER,24,3.707638888888889,13,13,1,2022-09-04 11:17:00,2022-09-08 04:16:00,14,6,HI-Small
HI-Small::128,CYCLE,7,3.0972222222222223,7,7,1,2022-09-04 12:14:00,2022-09-07 14:34:00,7,4,HI-Small
HI-Small::129,FAN-IN,3,1.8472222222222223,3,1,1,2022-09-04 12:53:00,2022-09-06 09:13:00,4,1,HI-Small
HI-Small::206,RANDOM,3,1.0902777777777777,3,3,1,2022-09-06 14:14:00,2022-09-07 16:24:00,4,2,HI-Small
HI-Small::169,SCATTER-GATHER,24,3.954861111111111,13,13,1,2022-09-05 15:53:00,2022-09-09 14:48:00,14,5,HI-Small
HI-Small::264,BIPARTITE,13,1.4854166666666666,13,13,1,2022-09-08 05:14:00,2022-09-09 16:53:00,26,5,HI-Small
HI-Small::307,GATHER-SCATTER,8,6.090972222222222,3,7,1,2022-09-09 12:15:00,2022-09-15 14:26:00,9,5,HI-Small
HI-Small::16,RANDOM,3,1.4416666666666667,3,3,1,2022-09-01 06:47:00,2022-09-02 17:23:00,4,1,HI-Small
HI-Small::19,FAN-IN,10,3.365972222222222,10,1,1,2022-09-01 08:21:00,2022-09-04 17:08:00,11,1,HI-Small
HI-Small::21,STACK,2,2.88125,2,2,1,2022-09-02 17:28:00,2022-09-05 14:37:00,2,1,HI-Small
HI-Small::77,FAN-OUT,9,3.584722222222222,1,9,1,2022-09-02 22:58:00,2022-09-06 13:00:00,10,7,HI-Small
HI-Small::138,FAN-OUT,2,2.5375,1,2,1,2022-09-04 18:41:00,2022-09-07 07:35:00,3,2,HI-Small
HI-Small::148,STACK,14,3.0548611111111112,14,14,1,2022-09-05 09:29:00,2022-09-08 10:48:00,21,7,HI-Small
HI-Small::295,CYCLE,7,3.527083333333333,7,7,1,2022-09-09 05:13:00,2022-09-12 17:52:00,7,2,HI-Small
HI-Small::7,FAN-OUT,12,3.7006944444444443,1,12,1,2022-09-01 01:34:00,2022-09-04 18:23:00,13,7,HI-Small
HI-Small::157,RANDOM,2,1.1291666666666667,2,2,1,2022-09-05 04:58:00,2022-09-06 08:04:00,3,1,HI-Small
HI-Small::222,CYCLE,4,3.7291666666666665,4,4,1,2022-09-06 23:41:00,2022-09-10 17:11:00,4,2,HI-Small
HI-Small::226,SCATTER-GATHER,6,3.4930555555555554,4,4,1,2022-09-07 02:25:00,2022-09-10 14:15:00,5,2,HI-Small
HI-Small::85,RANDOM,2,0.0625,2,2,1,2022-09-03 02:36:00,2022-09-03 04:06:00,3,1,HI-Small
HI-Small::184,SCATTER-GATHER,4,1.4826388888888888,3,3,1,2022-09-06 01:36:00,2022-09-07 13:11:00,3,1,HI-Small
HI-Small::316,SCATTER-GATHER,24,3.9930555555555554,13,13,1,2022-09-09 18:09:00,2022-09-13 17:59:00,14,1,HI-Small
HI-Small::34,GATHER-SCATTER,2,0.1375,2,1,1,2022-09-01 14:04:00,2022-09-01 17:22:00,2,1,HI-Small
HI-Small::98,BIPARTITE,2,1.0138888888888888,2,2,1,2022-09-03 12:35:00,2022-09-04 12:55:00,4,1,HI-Small
HI-Small::99,GATHER-SCATTER,6,3.138888888888889,4,3,1,2022-09-03 12:22:00,2022-09-06 15:42:00,4,1,HI-Small
HI-Small::112,GATHER-SCATTER,2,0.20069444444444445,2,2,1,2022-09-03 18:46:00,2022-09-03 23:35:00,2,1,HI-Small
HI-Small::199,FAN-OUT,1,0.0,1,1,1,2022-09-06 10:04:00,2022-09-06 10:04:00,2,1,HI-Small
HI-Small::267,BIPARTITE,1,0.0,1,1,1,2022-09-10 02:11:00,2022-09-10 02:11:00,2,1,HI-Small
HI-Small::329,BIPARTITE,1,0.0,1,1,1,2022-09-11 18:51:00,2022-09-11 18:51:00,2,1,HI-Small
HI-Small::42,FAN-OUT,12,2.642361111111111,1,12,1,2022-09-01 21:59:00,2022-09-04 13:24:00,13,6,HI-Small
HI-Small::44,FAN-IN,3,2.26875,3,1,1,2022-09-01 22:26:00,2022-09-04 04:53:00,4,1,HI-Small
HI-Small::161,STACK,2,0.14305555555555555,2,2,1,2022-09-07 03:19:00,2022-09-07 06:45:00,3,2,HI-Small
HI-Small::278,RANDOM,1,0.0,1,1,1,2022-09-08 15:29:00,2022-09-08 15:29:00,2,1,HI-Small
HI-Small::279,RANDOM,1,0.0,1,1,1,2022-09-08 15:52:00,2022-09-08 15:52:00,2,1,HI-Small
HI-Small::330,GATHER-SCATTER,26,6.284027777777778,15,13,1,2022-09-09 23:11:00,2022-09-16 06:00:00,27,5,HI-Small
HI-Small::332,RANDOM,8,3.2736111111111112,8,8,1,2022-09-10 02:09:00,2022-09-13 08:43:00,9,6,HI-Small
HI-Small::340,RANDOM,10,3.3270833333333334,10,10,1,2022-09-10 04:41:00,2022-09-13 12:32:00,11,6,HI-Small
HI-Small::71,CYCLE,4,1.695138888888889,4,4,1,2022-09-02 19:30:00,2022-09-04 12:11:00,4,2,HI-Small
HI-Small::181,CYCLE,10,3.797222222222222,10,10,1,2022-09-05 22:55:00,2022-09-09 18:03:00,10,6,HI-Small
HI-Small::287,SCATTER-GATHER,26,3.692361111111111,14,14,1,2022-09-08 23:49:00,2022-09-12 16:26:00,15,4,HI-Small
HI-Small::346,FAN-IN,6,3.6743055555555557,6,1,1,2022-09-10 10:51:00,2022-09-14 03:02:00,7,1,HI-Small
HI-Small::348,FAN-IN,13,3.3048611111111112,13,1,1,2022-09-10 11:46:00,2022-09-13 19:05:00,14,1,HI-Small
HI-Small::352,FAN-OUT,13,3.964583333333333,1,13,1,2022-09-10 14:38:00,2022-09-14 13:47:00,14,3,HI-Small
HI-Small::366,CYCLE,3,2.7736111111111112,3,3,1,2022-09-10 21:28:00,2022-09-13 16:02:00,3,3,HI-Small
HI-Small::57,STACK,2,0.9486111111111111,2,2,1,2022-09-02 20:24:00,2022-09-03 19:10:00,3,2,HI-Small
HI-Small::121,BIPARTITE,3,1.207638888888889,3,3,1,2022-09-04 10:03:00,2022-09-05 15:02:00,6,2,HI-Small
HI-Small::125,FAN-IN,12,3.990972222222222,12,1,1,2022-09-04 10:24:00,2022-09-08 10:11:00,13,1,HI-Small
HI-Small::205,RANDOM,8,3.8152777777777778,8,8,1,2022-09-06 13:46:00,2022-09-10 09:20:00,9,5,HI-Small
HI-Small::275,CYCLE,2,1.7798611111111111,2,2,1,2022-09-08 13:29:00,2022-09-10 08:12:00,2,1,HI-Small
HI-Small::277,BIPARTITE,9,1.7833333333333334,9,9,1,2022-09-08 17:05:00,2022-09-10 11:53:00,18,2,HI-Small
HI-Small::61,CYCLE,2,2.9541666666666666,2,2,1,2022-09-02 12:58:00,2022-09-05 11:52:00,2,1,HI-Small
HI-Small::64,CYCLE,2,3.036111111111111,2,2,1,2022-09-02 14:26:00,2022-09-05 15:18:00,2,1,HI-Small
HI-Small::167,BIPARTITE,3,1.007638888888889,3,3,1,2022-09-05 17:34:00,2022-09-06 17:45:00,6,3,HI-Small
HI-Small::168,SCATTER-GATHER,14,2.8472222222222223,8,8,1,2022-09-05 15:47:00,2022-09-08 12:07:00,9,4,HI-Small
HI-Small::173,CYCLE,4,3.0881944444444445,4,4,1,2022-09-05 17:11:00,2022-09-08 19:18:00,4,2,HI-Small
HI-Small::262,CYCLE,2,1.34375,2,2,1,2022-09-08 01:32:00,2022-09-09 09:47:00,2,1,HI-Small
HI-Small::263,RANDOM,6,3.1,6,6,1,2022-09-08 01:55:00,2022-09-11 04:19:00,7,3,HI-Small
HI-Small::265,STACK,16,3.0541666666666667,16,16,1,2022-09-08 12:41:00,2022-09-11 13:59:00,24,4,HI-Small
HI-Small::14,FAN-IN,16,3.7881944444444446,16,1,1,2022-09-01 06:23:00,2022-09-05 01:18:00,17,1,HI-Small
HI-Small::79,GATHER-SCATTER,24,7.4875,15,11,1,2022-09-02 23:18:00,2022-09-10 11:00:00,25,4,HI-Small
HI-Small::132,FAN-OUT,1,0.0,1,1,1,2022-09-04 15:30:00,2022-09-04 15:30:00,2,1,HI-Small
HI-Small::135,BIPARTITE,7,1.7534722222222223,7,7,1,2022-09-04 17:13:00,2022-09-06 11:18:00,14,4,HI-Small
HI-Small::139,RANDOM,1,0.0,1,1,1,2022-09-04 18:39:00,2022-09-04 18:39:00,2,1,HI-Small
HI-Small::140,GATHER-SCATTER,5,5.942361111111111,3,4,1,2022-09-04 18:56:00,2022-09-10 17:33:00,4,1,HI-Small
HI-Small::145,STACK,16,3.6555555555555554,16,16,1,2022-09-05 12:23:00,2022-09-09 04:07:00,24,2,HI-Small
HI-Small::236,FAN-OUT,6,3.467361111111111,1,6,1,2022-09-07 07:34:00,2022-09-10 18:47:00,7,4,HI-Small
HI-Small::239,STACK,30,3.8666666666666667,30,30,1,2022-09-07 09:34:00,2022-09-11 06:22:00,45,9,HI-Small
HI-Small::9,BIPARTITE,13,1.5027777777777778,13,13,1,2022-09-01 04:39:00,2022-09-02 16:43:00,26,2,HI-Small
HI-Small::11,GATHER-SCATTER,4,3.5909722222222222,3,3,1,2022-09-01 03:53:00,2022-09-04 18:04:00,3,1,HI-Small
HI-Small::51,FAN-OUT,2,0.10555555555555556,1,2,1,2022-09-02 06:37:00,2022-09-02 09:09:00,3,1,HI-Small
HI-Small::152,RANDOM,10,2.9881944444444444,10,10,1,2022-09-05 02:48:00,2022-09-08 02:31:00,11,5,HI-Small
HI-Small::221,GATHER-SCATTER,5,4.352083333333334,3,3,1,2022-09-06 23:05:00,2022-09-11 07:32:00,3,1,HI-Small
HI-Small::229,CYCLE,4,3.775,4,4,1,2022-09-07 03:44:00,2022-09-10 22:20:00,4,2,HI-Small
HI-Small::230,STACK,12,4.375694444444444,12,12,1,2022-09-07 09:02:00,2022-09-11 18:03:00,18,7,HI-Small
HI-Small::26,FAN-OUT,13,3.845833333333333,1,13,1,2022-09-01 09:46:00,2022-09-05 06:04:00,14,5,HI-Small
HI-Small::28,GATHER-SCATTER,25,6.590972222222222,13,14,1,2022-09-01 11:05:00,2022-09-08 01:16:00,26,5,HI-Small
HI-Small::80,SCATTER-GATHER,4,2.6881944444444446,3,3,1,2022-09-03 00:47:00,2022-09-05 17:18:00,4,1,HI-Small
HI-Small::82,SCATTER-GATHER,26,3.9972222222222222,14,14,1,2022-09-03 01:02:00,2022-09-07 00:58:00,15,9,HI-Small
HI-Small::186,FAN-IN,15,3.9833333333333334,15,1,1,2022-09-06 02:29:00,2022-09-10 02:05:00,16,1,HI-Small
HI-Small::249,FAN-OUT,2,0.7881944444444444,1,2,1,2022-09-07 18:02:00,2022-09-08 12:57:00,3,1,HI-Small
HI-Small::314,RANDOM,1,0.0,1,1,1,2022-09-09 17:07:00,2022-09-09 17:07:00,2,1,HI-Small
HI-Small::32,STACK,20,3.4319444444444445,20,20,1,2022-09-02 05:39:00,2022-09-05 16:01:00,30,2,HI-Small
HI-Small::38,CYCLE,2,3.2215277777777778,2,2,1,2022-09-01 18:15:00,2022-09-04 23:34:00,2,2,HI-Small
HI-Small::103,FAN-IN,13,3.8381944444444445,13,1,1,2022-09-03 16:10:00,2022-09-07 12:17:00,14,1,HI-Small
HI-Small::110,FAN-OUT,1,0.0,1,1,1,2022-09-03 22:15:00,2022-09-03 22:15:00,2,1,HI-Small
HI-Small::268,SCATTER-GATHER,26,3.9256944444444444,14,14,1,2022-09-08 05:39:00,2022-09-12 03:52:00,15,5,HI-Small
HI-Small::320,GATHER-SCATTER,25,6.713888888888889,11,16,1,2022-09-09 19:28:00,2022-09-16 12:36:00,26,6,HI-Small
HI-Small::215,FAN-OUT,13,3.6416666666666666,1,13,1,2022-09-06 19:16:00,2022-09-10 10:40:00,14,2,HI-Small
HI-Small::217,CYCLE,12,3.9743055555555555,12,12,1,2022-09-06 19:29:00,2022-09-10 18:52:00,12,5,HI-Small
HI-Small::30,GATHER-SCATTER,22,7.747222222222222,9,15,1,2022-09-01 14:33:00,2022-09-09 08:29:00,23,4,HI-Small
HI-Small::177,CYCLE,3,1.9791666666666667,3,3,1,2022-09-05 18:42:00,2022-09-07 18:12:00,3,1,HI-Small
HI-Small::182,GATHER-SCATTER,4,3.415277777777778,3,2,1,2022-09-05 23:10:00,2022-09-09 09:08:00,3,1,HI-Small
HI-Small::243,FAN-OUT,2,4.000694444444444,1,2,1,2022-09-07 11:40:00,2022-09-11 11:41:00,3,2,HI-Small
HI-Small::244,BIPARTITE,12,1.976388888888889,12,12,1,2022-09-07 14:45:00,2022-09-09 14:11:00,24,5,HI-Small
HI-Small::354,STACK,2,0.04513888888888889,2,2,1,2022-09-12 10:44:00,2022-09-12 11:49:00,2,1,HI-Small
HI-Small::356,CYCLE,11,3.417361111111111,11,11,1,2022-09-10 16:18:00,2022-09-14 02:19:00,11,4,HI-Small
HI-Small::357,BIPARTITE,1,0.0,1,1,1,2022-09-12 14:24:00,2022-09-12 14:24:00,2,1,HI-Small
HI-Small::358,STACK,10,3.8201388888888888,10,10,1,2022-09-10 22:39:00,2022-09-14 18:20:00,15,4,HI-Small
HI-Small::364,GATHER-SCATTER,7,6.723611111111111,6,3,1,2022-09-10 19:59:00,2022-09-17 13:21:00,8,2,HI-Small
HI-Small::365,BIPARTITE,1,0.0,1,1,1,2022-09-11 13:33:00,2022-09-11 13:33:00,2,1,HI-Small
HI-Small::367,FAN-IN,12,3.9506944444444443,12,1,1,2022-09-10 21:02:00,2022-09-14 19:51:00,13,1,HI-Small
HI-Small::368,RANDOM,1,0.0,1,1,1,2022-09-10 22:42:00,2022-09-10 22:42:00,2,1,HI-Small
HI-Small::369,BIPARTITE,1,0.0,1,1,1,2022-09-12 03:34:00,2022-09-12 03:34:00,2,1,HI-Small
HI-Small::118,GATHER-SCATTER,21,6.941666666666666,15,8,1,2022-09-04 04:45:00,2022-09-11 03:21:00,16,2,HI-Small
HI-Small::203,BIPARTITE,4,0.36527777777777776,4,4,1,2022-09-07 07:53:00,2022-09-07 16:39:00,8,3,HI-Small
HI-Small::209,STACK,16,3.5375,16,16,1,2022-09-06 19:45:00,2022-09-10 08:39:00,24,3,HI-Small
HI-Small::271,SCATTER-GATHER,12,3.597916666666667,7,7,1,2022-09-08 10:04:00,2022-09-12 00:25:00,8,6,HI-Small
HI-Small::274,BIPARTITE,1,0.0,1,1,1,2022-09-08 19:41:00,2022-09-08 19:41:00,2,1,HI-Small
HI-Small::2,GATHER-SCATTER,5,3.6215277777777777,4,2,1,2022-09-01 00:04:00,2022-09-04 14:59:00,4,1,HI-Small
HI-Small::65,RANDOM,2,0.7597222222222222,2,2,1,2022-09-02 14:40:00,2022-09-03 08:54:00,3,2,HI-Small
HI-Small::176,GATHER-SCATTER,14,7.470833333333333,11,5,1,2022-09-05 18:12:00,2022-09-13 05:30:00,15,2,HI-Small
HI-Small::257,CYCLE,8,3.703472222222222,8,8,1,2022-09-07 23:51:00,2022-09-11 16:44:00,8,4,HI-Small
HI-Small::306,FAN-OUT,16,3.984027777777778,1,16,1,2022-09-09 12:00:00,2022-09-13 11:37:00,17,5,HI-Small
HI-Small::15,GATHER-SCATTER,8,4.560416666666667,3,7,1,2022-09-01 06:46:00,2022-09-05 20:13:00,9,3,HI-Small
HI-Small::78,RANDOM,9,3.573611111111111,9,9,1,2022-09-02 23:26:00,2022-09-06 13:12:00,10,2,HI-Small
HI-Small::130,CYCLE,11,3.7819444444444446,11,11,1,2022-09-04 13:58:00,2022-09-08 08:44:00,11,7,HI-Small
HI-Small::131,FAN-IN,10,3.9923611111111112,10,1,1,2022-09-04 15:13:00,2022-09-08 15:02:00,11,1,HI-Small
HI-Small::147,GATHER-SCATTER,27,6.763194444444444,13,16,1,2022-09-05 00:57:00,2022-09-11 19:16:00,28,4,HI-Small
HI-Small::235,SCATTER-GATHER,26,3.94375,14,14,1,2022-09-07 07:07:00,2022-09-11 05:46:00,15,5,HI-Small
HI-Small::237,RANDOM,1,0.0,1,1,1,2022-09-07 08:08:00,2022-09-07 08:08:00,2,1,HI-Small
HI-Small::8,FAN-OUT,2,3.6645833333333333,1,2,1,2022-09-01 01:50:00,2022-09-04 17:47:00,3,2,HI-Small
HI-Small::149,SCATTER-GATHER,26,3.6666666666666665,14,14,1,2022-09-05 01:54:00,2022-09-08 17:54:00,15,4,HI-Small
HI-Small::158,SCATTER-GATHER,2,1.5020833333333334,2,2,1,2022-09-05 06:15:00,2022-09-06 18:18:00,2,1,HI-Small
HI-Small::299,GATHER-SCATTER,22,7.621527777777778,11,13,1,2022-09-09 08:19:00,2022-09-16 23:14:00,23,4,HI-Small
